CityCode,WellnessCenterCode,Category,DoctorCount,Latitude,Longitude,WellnessCentreName,CityName,WellnessCenterNumber,WellnessCenterAddress,doctorcount_int
18,D85,Allopathy,7,28.603680420071072,77.33577272483042,NA,DELHI/HQ/DIRECTORATE/MINISTRY,0120-2970157,"R 51, Near Modern School, Sector-11, Noida",7
18,D86,Allopathy,8,28.705473695869724,77.11851942833934,NA,DELHI/HQ/DIRECTORATE/MINISTRY,27040169,"B-52 Naharpur Market, Sector-7, Rohini, Near DAV Public School",8
18,D97,Allopathy,8,28.64925367551541,77.3409621693158,NA,DELHI/HQ/DIRECTORATE/MINISTRY,0120-2770973,"Flat No. 01-05, Sharda Tower, Sec-4 Vaishali",8
18,PHA,Allopathy,31,,"",NA,DELHI/HQ/DIRECTORATE/MINISTRY,9312901213,"Parliament House annexe, Sansad marg area, New Delhi",31
20,HY13,Allopathy,6,17.402269587535944,78.55809379630266,NA,Hyderabad,040-27209223,"User Interaction Window Complex (UIWC) Survey of India Campus, Beside",6
27,MU1,Allopathy,9,18.93986693115813,72.82775359662695,NA,Mumbai,022-22018799,Old CGO Building,9
27,MU12,Allopathy,7,19.214379476357948,73.18581244584713,NA,Mumbai,0251-2600858,"Old primary School, Ordinance  Estate, Ambarnath,  Thane 421502",7
28,NPPO,Allopathy,6,21.170121495229427,79.06657086914413,NA,Nagpur,0712-2580963,"CPWD Colony, Katol Road, Nagpur- 440013",6
30,PU07,Allopathy,7,18.494899830075553,73.86001548650657,NA,Pune,020-24266402,"Ground Floor, Swasthya Sadan, Mukundnagar, Pune-411 037.",7
18,D11,Allopathy,6,28.57253204414367,77.23874562698686,NA,DELHI/HQ/DIRECTORATE/MINISTRY,29816439,"CGHS Disp. Building, Lajpat Nagar Market",6
18,D5,Allopathy,6,28.646986187271455,77.20988200000001,NA,DELHI/HQ/DIRECTORATE/MINISTRY,"23587511 ,23561574","3 & 4, Chitra Gupta Road",6
18,D54,Allopathy,6,28.690905591777657,77.11542952370824,NA,DELHI/HQ/DIRECTORATE/MINISTRY,27021102,"Suvidha Kunj near KIIT WORLDS School, Pitampura Delhi",6
18,D67,Allopathy,9,28.630810878253378,77.27749218650656,NA,DELHI/HQ/DIRECTORATE/MINISTRY,011-21210276,"CGHS Building, H-Block, ,Laxmi Nagar,  Vikas Marg",9
18,D73,Allopathy,8,28.482273520669892,77.02017605582239,NA,DELHI/HQ/DIRECTORATE/MINISTRY,0124-4064496,"Plot-556,opposite House no-409, near Huda ground , Sector-5",8
18,D84,Allopathy,6,28.701620107085503,77.26739727116448,NA,DELHI/HQ/DIRECTORATE/MINISTRY,011-22565516     011-21230042,"CGHS Wellness Centre,  B2 Block, Yamuna Vihar",6
19,GT1,Allopathy,6,26.152029274342976,91.79152511535887,NA,Guwahati,0361-2232743,,6
20,HY12,Allopathy,6,17.363909117808866,78.58507218650655,NA,Hyderabad,040-29885333,Type IV D 17 to D 20 GPRA GSUI Campus Bandlaguda Hyderabad 500068,6
27,MU8,Allopathy,6,19.029292363792454,72.86422292878791,NA,Mumbai,022-24013694,"Bldg.No.21, Sectior-1, Kane Nagar,  Mumbai - 400037",6
28,NP1,Allopathy,7,21.170121495229427,79.06657086914413,NA,Nagpur,0712-2971828,"CPWD Colony, Katol Road, Nagpur- 440013",7
29,PA1,Allopathy,6,25.607720162444032,85.13358018650655,NA,Patna,0612-2950017,"Budhmarg,  Patna-800001",6
